,Tên tiếng việt,Ngành tiếng việt,Tên tiếng anh,Work/ Life Balance,Career Opportunity,Avg Salary,Skill,Group
11,Chuyên gia quản trị bất động sản,Kinh doanh và Quản lý,Real Estate Administrator,2,2,1,"[ 3.0, 3.75, 3.12, 3.62,  3.5,  1.0, 1.12,  1.0, 2.75, 3.12, 2.75,  3.0, 2.88,
 3.12,  3.0, 3.12,  3.5,  1.5, 2.12, 1.75, 3.25,  1.5,  2.0, 3.88,  1.0, 1.38,
  3.0, 3.25,  4.0, 2.12, 2.12, 1.25,  3.0, 1.62, 3.62]",23
12,Chuyên gia vật lí trị liệu,Chăm sóc sức khỏe,Physiotherapist,1,1,2,"[3.12,  4.0, 3.38, 3.25,  4.0, 1.38, 1.75, 1.12, 3.38, 3.75, 3.12,  2.0,  2.0,
 2.88, 2.12, 3.88,  3.0,  2.0, 2.75, 2.25,  3.0, 1.62,  2.0,  4.0, 1.38, 2.62,
  4.0,  4.0,  4.0, 3.12, 3.12, 1.88, 3.62,  2.0, 3.88]",12
13,Chuyên viên lưu trữ văn thư và quản lí bảo tàng,Báo chí – Thông tin – Truyền thông,Archivist ,2,0,1,"[3.25, 3.88, 3.25,  3.0, 3.38,  1.0,  1.0,  1.0,  3.0, 3.25, 2.88,  2.0, 2.25,
 2.88,  2.0,  3.0, 2.75,  1.0, 2.12,  2.0, 2.75, 1.75,  2.0,  4.0,  1.0,  2.0,
 3.12, 2.75, 3.25, 2.88,  2.5, 1.88, 3.12, 1.62,  4.0]",17
14,Chuyên viên quan hệ công chúng,Báo chí – Thông tin – Truyền thông,Public Relations Officer,2,2,1,"[3.38, 4.12, 3.38, 3.88, 3.88,  1.0,  1.0,  1.0,  3.0,  3.5, 2.88, 1.88, 1.75,
 2.62,  2.0,  3.0, 3.25,  1.0, 2.75, 1.62, 3.75, 1.38, 1.38,  4.0,  1.0,  1.5,
 3.12,  4.0, 4.12, 3.12, 3.25, 1.75, 3.88,  1.0,  4.0]",23
15,Cán bộ kĩ thuật xây dựng,Kiến trúc và xây dựng,Civil Engineering Technician,1,2,0,"[2.88, 3.75, 3.12,  3.0, 3.88,  1.0, 1.12,  1.0, 2.38, 3.12, 2.25, 2.12, 2.12,
 2.25, 3.62, 3.25,  2.5, 2.12, 2.62, 2.38,  2.5, 1.88, 2.12, 3.75,  1.0, 2.75,
 2.75, 2.88, 3.38, 2.88, 2.75, 1.75, 2.88, 1.75, 3.25]",13
16,Cán bộ kĩ thuật điện trong phát và truyền tải điện,Kỹ thuật,Electrical Engineering Technician and Operator ,2,2,0,"[3.12, 3.38,  3.5, 3.03, 3.69, 2.94, 2.66, 1.97, 2.84, 3.16, 2.69, 2.03, 2.12,
 2.59, 3.19, 3.19, 2.38, 2.78,  2.5, 3.18, 2.63, 2.19, 3.09, 3.56, 2.94, 2.72,
 2.69, 2.84, 3.25, 3.12, 2.97, 2.46, 3.06, 3.28, 3.12]",22
17,Cảnh sát cứu hỏa,,Firefighters,1,2,0,"[ 3.5,  3.5, 3.25, 3.62, 3.88, 2.88, 2.88, 1.38,  3.0, 3.62, 2.88, 1.75, 2.12,
 2.38, 2.62,  3.5, 2.62, 3.25, 1.38, 3.25, 2.88,  1.5, 2.88, 3.12, 2.25,  2.0,
 3.62, 3.38,  3.5, 2.88, 2.88, 1.75, 3.12, 2.62, 2.88]",13
18,Dược sĩ,Chăm sóc sức khỏe,Pharmacist,0,0,2,"[3.62,  4.0, 3.62, 3.38, 3.88,  1.0, 1.25,  1.0, 3.38, 3.75, 3.12, 2.38, 2.75,
 3.38, 3.25, 3.88, 2.88,  1.5, 2.62, 2.25, 2.88,  1.5, 2.62,  4.0,  1.0, 3.38,
 3.62, 3.62,  4.0,  3.0,  3.0, 1.62, 3.62, 1.75, 3.88]",2
19,Giáo viên công nghệ thông tin,Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Information Technology Teacher,2,1,2,"[ 4.0, 4.12, 3.62,  3.0, 3.88,  1.0,  1.0,  1.0, 4.12,  3.5,  4.0,  2.0, 2.12,
 2.88, 2.12, 3.75,  3.0,  1.0, 2.12, 1.75,  3.0, 1.62, 1.38, 4.12,  1.0,  2.0,
  3.0, 3.25, 4.12,  3.0,  3.0, 1.62, 3.12,  1.0,  4.0]",21
20,Giáo viên giáo dục đặc biệt,Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Special Education Teacher,0,1,1,"[3.67,  4.0, 3.54, 3.63, 3.84,  1.0, 1.12,  1.0, 3.91, 3.54, 3.96, 1.54, 1.71,
 2.79, 2.54, 3.79, 3.04, 1.04, 1.75, 1.75, 3.17, 1.67, 1.75, 3.92,  1.0, 1.83,
 3.79, 3.92, 4.08, 2.96, 2.96, 1.62, 3.58, 1.25, 3.83]",4
