,Tên tiếng việt,Tên tiếng anh,Ngành tiếng việt,Mô tả,Ví dụ về nơi làm việc,Work/ Life Balance,Career Opportunity,Avg Salary,Skill,O*NET-SOC Code,Group
17,Nhà hoá học,Chemist,Khoa học tự nhiên,"Nhà hóa học thực hiện các nghiên  cứu, cải tiến hoặc phát triển các  khái niệm, học thuyết và các  phương pháp hoạt động, hoặc  ứng dụng các kiến thức khoa học  liên quan vào hóa học, chủ yếu để  kiểm nghiệm, phát triển và cải  tiến các nguyên liệu, các sản  phẩm và qui trình công nghiệp","• Làm việc trong các ngành công nghiệp hoá chất, ví dụ như nước hoa, sơn, màu vẽ và dược phẩm • Làm việc trong các cơ quan môi trường để giảm ô nhiễm, đồng thời quản lí và tái chế chất thải • Làm việc trong ngành công nghiệp đóng gói thực phẩm, nước uống đóng chai và các loại kẹo đóng gói",1,0,2,"[3.38, 3.88, 3.75,  3.0,  4.0,  3.0, 2.62,  1.0,  3.0, 3.12, 2.88, 2.12, 2.38, 
 2.88, 3.88, 3.25, 2.25, 2.38,  2.5,  3.0, 2.62, 2.12, 3.38,  4.0, 2.38, 4.25, 
 2.75,  3.0,  3.5, 3.12, 3.25, 1.88, 2.88, 2.75, 3.62]",19-2031.00,8
18,Nhà toán học,Mathematician,Toán và Thống kê,"Toán học là nền tảng cho tất cả các ngành khoa học. Toán học có thể nặng về lí thuyết hoặc thiên về ứng dụng. Ví dụ như trong một thùng hình vuông có thể chứa bao nhiêu quả táo hình tròn? Bài toán ứng dụng này có ý nghĩa rất lớn đối với những người hàng ngày phải đóng gói và chuyển đi hàng triệu quả táo. Đó là vấn đề mà một nhà toán học cần giải quyết. Các nhà toán học và các nhà nghiên cứu liên quan tới toán học tiến hành nghiên cứu và phát triển các khái niệm toán học và tính toán rủi ro (xem thêm nghề Thống kế bảo hiểm), các lí thuyết, các phương pháp và kĩ thuật vận hành. Họ tư vấn cho các chuyên gia hoạt động trong nhiều lĩnh vực như kĩ thuật, kinh doanh, y tế, khoa học, đời sống tự nhiên và xã hội. Nhiệm vụ cụ thể của một nhà toán học phụ thuộc vào lĩnh vực cụ thể mà người đó chuyên sâu.",• Các viện hàn lâm. • Các tổ chức nghiên cứu • Nghiên cứu và phát triển công nghiệp • Các công ty bảo hiểm • Giảng dạy nghiên cứu tại các trường ĐH,2,2,2,"[ 4.0, 3.38, 4.12, 2.75, 4.25,  1.0,  1.0,  1.0, 3.12,  3.5, 3.38, 1.62, 1.62, 
 2.25,  5.0,  3.0, 1.88,  1.0,  2.5, 1.62, 2.62,  2.5,  1.5,  4.0,  1.0, 3.62, 
 1.88, 2.75, 3.38, 3.25, 3.12, 1.62, 2.75,  1.0,  3.5]",15-2021.00,22
19,Nhà thống kê,Statistician,Toán và Thống kê,"Nhà thống kê ứng dụng toán học vào phân tích số liệu, ví dụ như quyết định lựa chọn việc làm chịu ảnh hưởng lớn từ các yếu tố nào: mức lương hay thời hạn hợp đồng? Một nhãn hiệu trà mới có thể bán chạy ở khu vực thành thị hay nông thôn? Đây là những ví dụ thống kê đơn giản. Hầu hết các nhà nghiên cứu, hoạch định và quản lí phụ thuộc rất nhiều vào các nhà phân tích thống kê","• Các cơ quan Nhà nước, chẳng hạn như Cục thống kê, bộ phận thống kê của các cơ quan chính quyền • Các tổ chức kinh doanh dự đoán nhu cầu về các sản phẩm và phân tích rủi ro, lợi nhuận khi đầu tư. • Hỗ trợ các nhà nghiên cứu cả trong khoa học tự nhiên và xã hội. • Các tổ chức nghiên cứu và giáo dục. • Tạp chí và báo phân tích thị trường tài chính. • Kênh thể thao và các hiệp hội cung cấp bình luận đi kèm với điểm phân tích, và các thông tin khác có liên quan.",2,2,2,"[3.62, 3.88, 3.88, 2.88, 4.12,  1.0,  1.0,  1.0, 2.88, 3.25,  3.0, 1.75, 1.75, 
 2.25, 4.75, 2.88, 1.88, 1.25, 2.75,  1.5, 2.62,  3.0, 1.75,  4.0,  1.0,  3.5, 
 2.38, 2.75, 3.75,  3.0,  3.0, 1.75,  3.0,  1.0,  3.5]",15-2041.00,22
20,Nhà sinh vật học,Biologist,Khoa học sự sống,"Nhà sinh vật học nghiên cứu về sự sống và các hệ sinh vật. Họ tiến hành nghiên cứu, cải tiến hoặc phát triển các lí thuyết và phương pháp vận hành cũng như áp dụng kiến thức khoa học liên quan tới sinh vật học, vi sinh vật học, vi khuẩn học, tế bào học, nghiên cứu gen, động vật học, thực vật học và sinh thái học, đặc biệt trong các lĩnh vực dược và nông nghiệp.","Đây là chuyên ngành chính làm nền tảng cho các ngành nghề liên quan tới khoa học về sự sống. Nơi làm việc cụ thể của nhà sinh vật học phụ thuộc vào lĩnh vực chuyên sâu mà người đó chọn, ví dụ như phòng thí nghiệm sinh học, công ty dược phẩm, nhà máy thực phẩm, nhà máy bia… Bạn cũng có thể giảng dạy môn sinh học tại các trường ĐH, CĐ, TC, THPT, THCS.",1,0,2,"[3.88,  4.0, 3.88, 3.12,  4.0,  1.0, 1.25,  1.0, 3.25, 3.62, 3.12, 1.75, 1.88, 
 3.12, 3.75, 3.38, 2.62, 1.62, 1.75, 2.25, 2.75, 2.75,  2.5,  4.0,  1.0, 4.62, 
 2.62, 3.25,  4.0, 3.12,  3.0, 1.75,  3.0, 1.75,  4.0]",19-1020.01,8
21,Kĩ sư y sinh,Biomedical Engineer,Khoa học sự sống,"Kĩ thuật y sinh tiến hành nghiên cứu các khía cạnh khác nhau của con người hay các loài động vật nhằm kiểm tra, chứng minh hoặc điều chỉnh hệ thống lí thuyết về sự sống đã biết. Những thông tin này được sử dụng để thiết kế bộ máy hỗ trợ cho sự sống, tối đa hoá lợi ích của các nguyên tắc trong khoa học kĩ thuật và hành vi của sinh vật.","• Bệnh viện • Ngành công nghiệp hoá chất • Các tổ chức nghiên cứu • Các cơ sở giáo dục • Các công ty dược phẩm • Các cơ quan chỉnh hình, phục hồi chức năng • Chuyên gia tư vấn độc lập",1,2,1,"[3.62, 4.12, 4.12, 3.25, 4.25, 2.25,  2.5, 2.88, 3.25, 4.12, 3.12, 2.25, 2.62, 
 3.12, 3.75, 3.75, 3.12,  2.0, 3.75, 2.88, 3.12,  3.0, 3.12, 4.12, 2.62, 3.88, 
 3.12, 3.12, 3.88, 3.75, 3.75, 3.25, 3.25, 2.75, 3.75]",17-2031.00,13
22,Chuyên gia bảo vệ môi trường,Environmental Specialist,Môi trường và bảo vệ môi trường,"Chuyên gia bảo vệ môi trường nghiên cứu, đánh giá và quản lí tác động của các hoạt động của con người đối với môi trường tự nhiên và nhân tạo. Họ áp dụng chuyên môn vào quản lí ô nhiễm, quản lí chất thải, ứng phó với biến đổi khí hậu và sự cạn kiệt, thoái hóa các nguồn lực tự nhiên. Họ xây dựng các kế hoạch, giải pháp để bảo vệ, bảo tồn, phục hồi, giảm thiểu tác hại tới môi trường","• Các trung tâm, viện nghiên cứu • Các tổ chức hàn lâm, trường ĐH, CĐ • Các cơ quan Nhà nước • Các công ty tư vấn kĩ thuật tư nhân • Các nhà máy và xí nghiệp có hệ thống kiểm soát ô nhiễm và quản lí chất thải • Các tổ chức BVMT",1,1,1,"[3.62,  4.0, 3.62,  3.5,  4.0, 1.12, 1.12,  1.0, 3.12, 3.38,  3.0, 2.12, 2.12, 
 2.88, 3.38,  3.5, 2.75, 2.12, 2.88,  2.5,  3.0,  2.0, 2.75,  4.0,  1.0, 3.88, 
  3.0, 3.12, 3.88,  3.0, 2.88,  2.0, 3.12, 2.12, 3.88]",19-2041.00,10
23,Kĩ sư công nghiệp,Industrial Engineer,Kỹ thuật,"Kĩ sư quản lí sự vận hành của toàn bộ nhà máy, đảm bảo rằng các qui trình hoạt động hiệu quả, an toàn và có tính kinh tế.",• Bất cứ ngành công nghiệp nào • Các trung tâm nghiên cứu. • Các Viện hàn lâm. • Các cơ quan Nhà nước. • Các công ty tư vấn kĩ thuật tư nhân,2,2,2,"[3.25,  4.0, 3.88, 3.12,  4.0,  1.0, 1.25,  1.0,  3.0, 3.12, 2.75, 2.12,  2.5, 
 2.88, 3.25, 3.38, 2.38, 2.25,  2.5, 2.38, 2.62, 1.88, 2.25,  4.0,  1.0, 2.12, 
 2.75,  3.0, 3.88, 3.25, 3.25, 2.12,  3.0,  2.0, 3.75]",17-2112.00,22
24,Chuyên gia công nghệ thực phẩm và đồ uống,Food and Drink Technologist,"Sản xuất, chế biến","Chuyên gia công nghệ thực phẩm và đồ uống cải tiến các kĩ thuật chế biến, bảo quản, sử dụng và đánh giá thành phần thực phẩm và đồ uống từ động thực vật hoặc nguyên liệu nhân tạo.",• Các công ty chế biến thực phẩm đồ uống • Bệnh viện • Cơ sở dịch vụ ăn uống • Cơ quan kiểm tra chất lượng • Phòng thí nghiệm công nghệ thực phẩm,1,0,0,"[3.75,  4.0, 3.88,  3.0, 3.88,  1.0, 1.62,  1.0,  3.0, 3.75,  3.0,  2.0,  2.0, 
 2.75, 3.12, 3.88,  3.0, 2.12, 2.25, 2.88,  3.0, 1.62, 3.25,  4.0,  1.0, 3.38, 
  3.0, 3.12, 3.88, 3.25, 3.25, 1.88,  3.0, 2.12,  4.0]",19-1012.00,6
25,Kĩ sư xây dựng,Civil Engineer,Kiến trúc và xây dựng,"Các kĩ sư xây dựng áp dụng toán học, vật lí và hóa học để xây dựng các công trình nhà ở, nhà thương mại, đường giao thông, cầu, đập nước, mạng lưới cấp nước, mạng lưới thoát nước, bến cảng, kênh rạch, bến, sân bay, hệ thống đường sắt.",• Các công ty xây dựng • Các công ty cầu đường • Các công ty kiến trúc • Tư vấn độc lập,1,2,1,"[3.25,  4.0, 3.88, 3.12, 3.88,  1.5, 1.25,  1.0,  3.0, 3.38, 2.88, 2.88, 2.88, 
  3.0, 3.88, 3.25,  3.0, 1.38, 3.62, 2.12,  3.0, 1.88, 2.25, 3.88, 1.62, 3.75, 
  3.0,  3.0, 3.88, 3.75, 3.12, 2.25, 3.75,  1.5, 3.25]",17-2051.00,13
26,Kĩ sư ô tô,Automotive Engineers,Kỹ thuật,"Kĩ sư ô tô thiết kế, thử nghiệm, phát triển và chỉ đạo sản xuất các loại ô tô như xe hơi, xe tải, xe buýt, xe bồn, xe đua… Họ giúp ngành công nghiệp ô tô đáp ứng những yêu cầu mới như tăng độ an toàn, tiết kiệm nhiên liệu và tiêu chuẩn môi trường.","• Các công ty sản xuất, lắp ráp, bảo dưỡng ô tô. • Các đơn vị nghiên cứu và phát triển về ô tô",1,1,0,"[3.38, 3.75, 4.12,  3.5, 4.12,  1.0, 1.88,  1.0,  3.0, 3.88, 2.88,  2.0,  2.0, 
  3.0, 3.88, 3.12,  3.0, 2.12, 3.75, 2.88, 3.12, 2.75,  3.0,  4.0,  1.0, 3.25, 
 2.88,  3.0, 3.88, 3.75, 3.75, 3.12, 3.25,  2.0, 3.88]",17-2141.02,9
