,Tên tiếng việt,Tên tiếng anh,Ngành tiếng việt,Mô tả,Ví dụ về nơi làm việc,Work/ Life Balance,Career Opportunity,Avg Salary,Skill,O*NET-SOC Code,Group
27,Kĩ sư cơ khí,Mechanical Engineer,Kỹ thuật,"Kĩ sư cơ khí làm công việc có liên quan tới quá trình lắp đặt, vận hành và bảo trì máy móc trong các ngành công nghiệp. Họ giải quyết các vấn đề kĩ thuật hàng ngày để nâng cao hiệu quả và năng suất.",• Trung tâm nghiên cứu • Các trường ĐH • Các cơ quan Nhà nước • Các doanh nghiệp chế tạo và sửa chữa máy móc thiết bị dụng cụ • Các doanh nghiệp tư vấn chế tạo cơ khí • Các doanh nghiệp có lắp đặt vận hành máy móc thiết bị,1,1,1,"[3.38, 3.88, 3.75,  3.0, 3.88, 1.88, 2.12, 2.12, 2.75, 3.75, 2.75,  2.5,  2.5, 
 2.62, 3.88, 3.12, 2.88, 2.38, 3.75,  3.0,  3.0,  2.5, 3.25, 3.88, 1.88, 3.88, 
  3.0, 2.88, 3.12, 3.25, 3.38, 3.25, 3.12,  3.0, 3.25]",17-2141.00,10
28,Kĩ sư cơ điện tử,Mechatronics Engineers,Kỹ thuật,,,2,2,0,"[3.12, 3.62, 3.88,  3.0, 3.75,  1.5, 2.38, 1.62,  3.0, 3.88, 3.12,  2.0,  2.0, 
 2.75, 3.38, 3.38, 2.62,  3.0, 3.12, 3.12, 2.88,  2.5,  3.0, 3.75, 1.38, 3.12, 
 2.88, 2.75,  3.5, 3.25, 3.38, 3.12,  3.0, 2.25, 3.75]",17-2199.05,20
29,Kĩ sư hoá học,Chemical Engineer,Kỹ thuật,"Kĩ sư hóa học áp dụng các kiến thức hóa học, vật lí và toán học để biến đổi các hóa chất trong nguyên liệu, hóa chất tổng hợp thành các dạng hữu ích hơn hoặc có giá trị hơn (ví dụ như xăng dầu, cao su…). Kĩ sư hóa học cũng tạo ra các loại vật liệu và các kĩ thuật mới được sử dụng trong các ngành công nghiệp khác.","Các công ty dược phẩm, thực phẩm và đồ uống, hóa chất, lọc hóa dầu, phân bón • Tất cả các ngành công nghiệp sử dụng nguyên liệu thô để tạo ra sản phẩm (ví dụ như giấy, cao su) • Các đơn vị nghiên cứu và phát triển",2,2,1,"[3.75, 3.38, 4.12,  3.0,  4.0,  1.0, 2.12,  1.0,  3.0, 3.88, 2.88,  2.5, 2.62, 
 2.75, 3.88, 3.25,  3.0, 2.25, 3.62, 3.12,  3.0, 2.38, 2.88, 3.88,  1.0, 4.25, 
 2.88,  3.0, 3.62, 3.88, 3.75, 2.75,  3.0,  3.0, 3.25]",17-2041.00,21
30,Kĩ sư vật liệu,Materials Engineer,Kỹ thuật,"Kĩ sư vật liệu nghiên cứu các tính chất của những loại vật liệu tự nhiên và tổng hợp như kim loại, gốm, sứ, polymer, gỗ và các nguồn tài nguyên khác nhằm nâng cao chất lượng cho các ứng dụng công nghiệp và thương mại.",• Bất cứ ngành công nghiệp nào • Các trung tâm nghiên cứu • Các viện hàn lâm • Các cơ quan Nhà nước • Các công ty tư vấn kĩ thuật tư nhân,2,2,1,"[3.25,  4.0,  4.0,  3.0, 3.88,  1.5,  2.0,  1.0, 3.12, 3.25,  3.0, 2.12, 2.62, 
  3.0, 3.75, 3.12,  3.0, 2.25, 3.12,  3.0,  3.0, 1.88, 3.12,  4.0,  1.5,  4.0, 
 3.12,  3.0, 3.75, 3.12,  3.0, 2.62,  3.0, 2.25, 3.75]",17-2131.00,21
31,Kĩ sư điện,Electrical Engineer,Kỹ thuật,"Kĩ sư điện làm công việc có liên quan tới việc phát và truyền tải điện. Họ lắp đặt, vận hành và duy trì mạng lưới điện. Kĩ sư điện cũng là những chuyên gia về các mạch điện trong các sản phẩm như máy tính và các thiết bị gia dụng.","• Điện công nghiệp và dân dụng • Hệ thống điện • Nhiệt điện • Thủy điện • Công nghệ kĩ thuật điện, điện tử",1,2,1,"[ 3.5, 3.88, 3.88,  3.0, 3.88,  2.0,  2.0, 1.12,  3.0, 3.12, 2.88, 2.25, 2.25, 
  3.0, 3.25,  3.5,  3.0, 1.12, 3.25, 2.88,  3.0,  2.0, 2.88, 3.88, 2.12, 3.12, 
 2.88, 3.12, 3.75, 3.12, 3.25, 2.25, 3.12, 2.88, 3.88]",17-2071.00,13
32,Kĩ sư điện tử,Electronics Engineer,Kỹ thuật,"Các kĩ sư điện tử nghiên cứu, thiết kế và chỉ đạo xây dựng, bảo dưỡng và sửa chữa các hệ thống điện tử; tìm hiểu và tư vấn về các vấn đề kỹ thuật của vật liệu, sản phẩm hay quá trình chế tạo điện tử.","• Các cơ quan truyền thông, kĩ thuật vũ trụ và giao thông của Nhà nước • Các ngành công nghiệp sản xuất các dụng cụ điện tử • Các ngành công nghiệp liên quan tới truyền thông • Công nghiệp sản xuất máy tính • Các đơn vị nghiên cứu",2,1,1,"[3.12, 3.75,  4.0,  3.0,  4.0, 2.88, 2.88, 1.62,  3.0, 3.75,  3.0,  2.0, 2.75, 
 2.75,  3.5, 3.38, 2.75, 2.88, 3.25,  3.0, 2.88, 2.75, 3.12,  4.0, 2.75,  3.0, 
 2.88, 2.88, 3.88, 3.75, 3.38,  3.0, 2.75,  3.0,  3.5]",17-2072.00,18
33,"Kĩ sư vũ trụ, hàng không",Aerospace/Aeronautical Engineer,Kỹ thuật,"Kĩ sư vũ trụ, hàng không là chuyên gia trong việc thiết kế và sản xuất các loại thiết bị bay. Họ cũng thực hiện các công việc duy tu, bảo dưỡng máy bay. Kĩ thuật hàng không vũ trụ cũng có thể mở rộng đến tàu vũ trụ, vệ tinh cũng như các hệ thống kiểm soát và hướng dẫn các máy bay từ xa.",• Các nhà máy tham gia sản xuất máy bay. • Các sân bay • Công ty hàng không • Không quân • Các đơn vị nghiên cứu và phát triển,2,2,2,"[3.62, 3.88, 3.88, 3.25, 4.12,  1.0, 1.25,  1.0,  3.0, 3.75, 3.38, 1.88, 1.75, 
 2.75, 3.88, 3.75,  3.0, 1.25, 3.88, 2.88, 3.12, 2.12, 3.25,  4.0,  1.0,  4.0, 
 2.88,  3.0, 3.88, 3.38,  3.5, 3.25, 3.25,  2.0, 3.88]",17-2011.00,22
34,Bác sĩ Thú y,Veterinarian,Thú y,"Chuyên gia thú y áp dụng các nguyên tắc y học để điều trị và kiểm soát dịch bệnh trong gia súc gia cầm và vật nuôi. Họ tiến hành nghiên cứu, cải tiến, phát triển các khái niệm, học thuyết và phương pháp hoạt động, và áp dụng các kiến thức y khoa vào lĩnh vực thú y","• Làm việc trong bệnh viện thú y • Làm việc trong các viện nghiên cứu chuyên ngành khác nhau của khoa học thú y • Làm việc trong nhà máy sữa, các công ty dược phẩm, trang trại gia cầm và trang trại nuôi heo • Làm việc trong phòng khám thú y tư nhân",0,1,2,"[ 4.0, 4.12, 3.88, 3.12, 3.88, 1.12, 1.75,  1.0,  3.0, 3.88,  3.0,  2.0,  2.0, 
  3.0, 3.12, 3.25, 2.88, 1.88, 2.75, 2.25, 2.88, 1.25, 2.12, 4.12,  1.0, 3.88, 
 3.38, 3.25, 3.88, 2.88,  3.0, 1.88, 3.25, 1.88,  3.5]",29-1131.00,5
35,Kỹ thuật viên Thú y,Veterinarian technician,Thú y," Kỹ thuật viên thú y thực hiện nhiệm vụ tư vấn, chẩn đoán, phòng ngừa và chữa bệnh thú y theo chỉ dẫn của bác sĩ thú y. Họ chăm sóc động vật được điều trị, thực hiện các thủ tục thường quy và hỗ trợ bác sĩ thú y trong các hoạt động","• Làm việc tại các nông trường, trang trại lớn • Làm việc trong các cơ quan quản lý thú y các cấp • Làm việc trong phòng khám thú y tư nhân, bệnh viện dành cho vật nuôi/thú cưng • Làm việc trong các viện nghiên cứu, các phòng thí nghiệm thú y",0,0,0,"[3.12, 3.75, 3.25, 3.12, 3.75, 2.25, 2.12,  1.0, 2.88, 3.12,  3.0, 1.88, 2.38, 
 2.75, 2.75, 3.25, 2.62, 2.62,  2.0, 2.88, 2.88, 1.75, 2.38, 3.62, 2.12, 2.88, 
 3.12, 3.12, 3.62, 2.75, 2.62, 1.88,  3.0,  2.5, 3.25]",29-2056.00,0
36,Dược sĩ,Pharmacist,Chăm sóc sức khỏe,"Dược sĩ nghiên cứu, cải tiến, phát triển các khái niệm, học thuyết và phương pháp hoạt động dược phẩm bằng cách chuẩn bị, phân phối và bán dược phẩm và thuốc",• Tự mở hiệu thuốc • Bộ phận dược phẩm trong một tổ chức chăm sóc sức khoẻ (ví dụ: bệnh viện) • Công ty dược phẩm sản xuất thuốc.,0,0,2,"[3.62,  4.0, 3.62, 3.38, 3.88,  1.0, 1.25,  1.0, 3.38, 3.75, 3.12, 2.38, 2.75, 
 3.38, 3.25, 3.88, 2.88,  1.5, 2.62, 2.25, 2.88,  1.5, 2.62,  4.0,  1.0, 3.38, 
 3.62, 3.62,  4.0,  3.0,  3.0, 1.62, 3.62, 1.75, 3.88]",29-1051.00,2
37,Kế toán,Accountant,Kinh doanh và Quản lý,"Kế toán theo dõi các hoạt động tài chính của một tổ chức. Họ lập kế hoạch, tổ chức, điều hành và thực hiện hệ thống kế toán cho tổ chức. Việc cấp chứng nhận cho kế toán và thực hành nghiệp vụ chuyên môn của họ được giám sát chặt chẽ. Có nhiều phần hành kế toán khác nhau và có nhiều vị trí trong hệ thống kế toán của một tổ chức. Nhiệm vụ cụ thể của một kế toán phụ thuộc vào công việc cụ thể mà người đó đảm nhận.","• Các doanh nghiệp trong nước, có vốn đầu tư nước ngoài • Các cơ quan Nhà nước • Hành nghề độc lập",1,1,1,"[3.31, 3.94, 3.44, 3.06, 3.88,  1.0,  1.0,  1.0, 2.88,  3.5, 2.94, 2.56,  2.0, 
 2.94, 3.69, 3.31,  3.0,  1.0, 2.56, 1.94, 3.12, 1.63, 1.75, 3.94,  1.0, 1.88, 
  3.0, 3.06, 3.81, 3.19, 2.94, 1.75, 3.25, 1.12, 3.75]",13-2011.01,10
38,Chuyên gia phân tích tài chính,Financial Analyst,Kinh doanh và Quản lý,Chuyên gia phân tích tài chính,• Ngân hàng • Các công ty bảo hiểm • Các quĩ chung. • Các công ty chứng khoán • Người môi giới chứng khoán. • Tư vấn tài chính • Quản lí tài chính,2,1,2,"[ 3.5, 3.75, 3.88, 3.12, 4.12,  1.0, 1.12,  1.0, 3.12, 3.62,  3.0, 2.75, 1.88, 
 2.62, 4.25,  3.0, 2.62, 1.25, 1.88, 1.75, 3.25, 2.75, 1.88,  4.0,  1.0, 1.88, 
  2.5,  3.0, 3.75, 3.25, 3.25, 1.75,  3.0, 1.12, 3.38]",13-2051.00,19
39,Chuyên gia phát triển phần mềm,Software Developer,Máy tính và Công nghệ thông tin,"Chuyên gia phát triển phần mềm nghiên cứu, phân tích và đánh giá các yêu cầu đối với các phần mềm ứng dụng sẵn có hoặc phần mềm và hệ điều hành mới. Họ thiết kế, phát triển, thử nghiệm và duy trì các giải pháp phần mềm nhằm đáp ứng tất cả các yêu cầu.","• Lập trình viên cho các công ty phần mềm • Tư vấn phát triển phần mềm chuyên dụng cho các ngành nghề, công ti • Kiểm tra, bảo trì, quản trị hệ thống phần mềm cho các tổ chức, công ti • Làm việc trong các tổ chức giáo dục giảng dạy và nghiên cứu các vấn đề liên quan đến lĩnh vực này • Chuyên gia phát triển phần mềm độc lập",2,2,1,"[ 3.5,  3.5, 3.62,  3.0, 3.75,  1.0,  2.0, 1.25, 2.75, 3.38, 2.88, 1.75, 1.75, 
 2.38, 2.75,  3.0, 2.75, 1.62, 3.62, 2.25, 2.88, 4.12, 2.75, 3.62,  1.0,  2.0, 
 2.88, 2.88, 3.25, 3.12,  3.0,  2.5,  3.0, 2.12, 3.12]",15-1132.00,21
40,Nhà kinh tế học,Economist,Khoa học xã hội và hành vi,"Nhà kinh tế học hiểu cách làm cho một quốc gia trở nên thịnh vượng bằng cách sử dụng nguồn lực của quốc gia đó một cách năng suất và hiệu quả. Họ tiến hành nghiên cứu, theo dõi và phân tích thông tin số liệu, làm các báo cáo và kế hoạch để giải quyết các vấn đề về kinh tế và kinh doanh, phát triển các mô hình phân tích, lí giải và dự báo hành vi và xu hướng kinh tế. Họ tư vấn cho doanh nghiệp, các nhóm lợi ích và chính phủ để xây dựng các giải pháp cho các vấn đề kinh tế và kinh doanh hiện tại và tương lai. ","• Các cơ quan Nhà nước • Làm cho các ngân hàng lớn • Các tổ chức phát triển và đa quốc gia như Ngân hàng Thế giới, Tổ chức Lao động quốc tế • Các doanh nghiệp và công ty lớn",2,1,2,"[3.88,  4.0, 3.88,  3.0, 4.12,  1.0,  1.0,  1.0,  3.5,  4.0, 3.12, 1.88, 1.88, 
 2.62, 4.12, 3.12, 2.38,  1.0, 2.75, 1.62,  3.0,  2.0, 1.25, 4.12,  1.0,  2.0, 
  3.0, 2.88,  4.0, 3.38, 3.25, 1.38,  3.0,  1.0,  4.0]",19-3011.00,19
41,Kĩ sư và kĩ thuật viên âm thanh,Sound Engineer,Kỹ thuật,"Kĩ sư và kĩ thuật viên kĩ thuật âm thanh vận hành máy móc, thiết bị để ghi lại, đồng bộ hoá, phối âm hoặc sao chép các hiệu ứng về âm thanh, giọng nói và âm nhạc trong các phòng thu, đấu trường thể thao, nhà hát, rạp chiếu phim, trường quay phim truyện và video.",• Phòng thu thanh • Công nghiệp làm phim • Hãng phim lồng tiếng • Buổi hoà nhạc trực tiếp • Đài phát thanh,2,2,0,"[3.12, 3.75, 3.25,  3.0, 3.25, 2.62,  2.5,  1.5, 2.75, 3.12, 2.75, 1.75,  2.0, 
  2.5, 2.12, 3.12, 2.62,  3.0, 1.38, 3.12, 2.75, 1.75, 2.88, 3.38,  2.5, 1.38, 
 2.88,  3.0, 3.62,  3.0,  3.0,  2.0,  3.0, 2.75, 3.25]",27-4014.00,20
42,Nhân viên giao dịch ngân hàng,Bank Teller and Related Clerks,Kinh doanh và Quản lý,"Nhân viên giao dịch ngân hàng và các nghề liên quan làm việc trực tiếp với khách hàng đến ngân hàng hoặc các bưu điện giao dịch, thực hiện các giao dịch liên quan tới nhận, gửi, chuyển, qui đổi và rút tiền.","• Xử lí giao dịch trong các ngân hàng quốc doanh, cổ phần, nước ngoài… • Công việc liên quan tới chuyển hàng và chuyển tiền trong bưu điện.",1,1,0,"[2.88,  3.5, 2.88, 2.88, 3.12,  1.0,  1.0,  1.0, 2.88, 2.88, 2.25, 1.62,  1.5, 
 2.38,  3.0, 3.12,  2.5,  2.0, 1.12,  2.0, 2.75, 1.25, 1.88, 3.12,  1.0,  1.0, 
 3.12, 3.12, 3.25, 2.12, 2.38, 1.38,  3.0,  1.5,  3.0]",43-3071.00,9
43,Giáo viên công nghệ thông tin,Information Technology Teacher,Khoa học giáo dục và Đào tạo Giáo viên sư phạm,"Giáo viên CNTT xây dựng chương trình, bố trí lịch học và thực hiện đào tạo về máy tính và CNTT cho người dùng không chuyên",• Các trường trung cấp • Các trường trung học • Các trung tâm đào tạo tin học • Các bộ phận đào tạo của doanh nghiệp,1,1,2,"[ 4.0, 4.12, 3.62,  3.0, 3.88,  1.0,  1.0,  1.0, 4.12,  3.5,  4.0,  2.0, 2.12, 
 2.88, 2.12, 3.75,  3.0,  1.0, 2.12, 1.75,  3.0, 1.62, 1.38, 4.12,  1.0,  2.0, 
  3.0, 3.25, 4.12,  3.0,  3.0, 1.62, 3.12,  1.0,  4.0]",,11
44,Nhà thiết kế đồ họa và truyền thông đa phương tiện,Graphic and Multi Media Designer,Năng khiếu nghệ thuật,"Nhà Thiết kế đồ họa và truyền thông đa phương tiện kết hợp thiết kế và những kiến thức kỹ thuật để nghiên cứu, phân tích, đánh giá, thiết kế, lập trình và sửa đổi các trang web và các ứng dụng cùng sử dụng các ký tự văn bản, đồ hoạ, sự chuyển động, hình ảnh, âm thanh và hiển thị hình ảnh và các phương tiện truyền thông tương tác khác",Các công ty đánh bắt thuỷ sản • Các tổ chức nghiên cứu và phát triển • Các tổ chức BVMT,2,1,0,"[3.12, 3.62,  3.0,  3.0, 3.38,  1.0, 1.25,  1.0, 2.62, 3.12, 2.62, 1.88, 1.88, 
 2.38,  2.0,  3.0, 2.88, 1.25, 3.12, 1.88, 2.88, 1.62,  2.0, 3.25,  1.0, 1.25, 
 2.88, 3.12, 3.38, 2.75,  2.5,  2.0, 3.12,  1.0,  3.0]",27-1024.00,17
45,Nhà Quản trị cơ sở dữ liệu và mạng máy tính,Network administrators,Máy tính và Công nghệ thông tin,"Quản trị cơ sở dữ liệu và mạng máy tính thiết kế, xây dựng, kiểm soát, hỗ trợ các hệ thống công nghệ thông tin để đảm bảo vận hành và an toàn, bao gồm cả dữ liệu, phần cứng, phần mềm,  mạng và hệ điều hành",• Các công ty dữ liệu • Các bộ phận quản trị mạng và dữ liệu của các công ty • Các ngân hàng • Các công ty viễn thông lớn,1,1,2,"[3.12, 3.75, 3.75,  3.0, 3.88,  3.0, 2.88, 2.38, 2.88, 3.88, 2.75,  2.0, 2.75, 
  3.0,  3.0, 3.75,  2.5,  3.0, 3.12, 3.38, 2.75, 3.62, 3.25, 3.88,  3.0, 2.25, 
  3.0,  3.0, 3.38, 3.88, 3.75, 2.75, 3.12, 3.75, 3.12]",15-1142.00,11
46,Thủ quỹ,Treasurer,Kinh doanh và Quản lý,"Thủ quỹ là người kiểm soát toàn bộ hoạt động thu chi phát sinh trong doanh nghiệp như kiểm tra phiếu Thu, phiếu Chi, ký xác nhận, giao các liên, tạm ứng, … Thủ quỹ quản lý, lưu trữ toàn bộ giấy tờ liên quan khác trong quá trình này.","• Các doanh nghiệp trong nước, có vốn đầu tư nước ngoài • Các cơ quan Nhà nước • Hành nghề độc lập",2,2,2,"[3.62, 3.88, 4.12, 3.38, 4.12,  1.0,  1.0,  1.0, 2.88, 4.12,  3.0,  4.0, 2.75, 
 3.12, 3.75, 3.88, 3.12, 1.12, 2.62, 1.88,  3.0, 1.62, 1.88, 4.12,  1.0, 1.25, 
 2.75, 3.12,  4.0, 3.25, 3.62, 1.62, 3.38,  1.0, 3.62]",11-3031.01,22
47,Kĩ thuật viên may mặc và công nghệ có liên quan,Garment Technicians,Kỹ thuật,"Kĩ thuật viên may mặc và công nghệ có liên quan (sợi, dệt, nhuộm…) phụ trách công nghệ kĩ thuật trong quá trình sản xuất hàng vải sợi, dệt và may mặc đại trà. Họ cũng có thể chuyên về hóa chất (thuốc nhuộm, chất tẩy, phụ gia…) hay máy móc thiết bị sản xuất hàng dệt may.","• Các doanh nghiệp sản xuất sợi, sản phẩm dệt và may mặc • Các doanh nghiệp cung cấp nguyên phụ liệu, hóa chất và máy móc thiết bị cho ngành dệt may • Các phòng thí nghiệm, đơn vị chứng nhận sản phẩm dệt may",0,0,1,"[2.12,  2.0, 2.25,  2.0,  2.5, 2.25,  2.0, 1.25, 1.25, 2.12, 1.75,  1.5,  1.5, 
  1.5, 1.62, 2.38, 1.75,  3.0,  1.5,  2.5, 1.75,  1.0, 2.12,  2.0, 1.75,  1.0, 
 1.88,  2.0, 2.12, 1.62, 1.88,  1.5,  2.5, 2.25, 1.75]",51-6021.00,1
48,Kiến trúc sư xây dựng,Building Architect,Kiến trúc và xây dựng,"Kiến trúc sư xây dựng thiết kế nhà ở, nhà thương mại, các công trình xây dựng dân dụng và công nghiệp; lập kế hoạch và giám sát thi công, bảo trì, mở rộng và cải tạo về mặt thẩm mĩ và công năng của các công trình đó. Họ cũng có thể tham gia qui hoạch đô thị, cảnh quan và các hệ thống giao thông.","• Hành nghề tự do hoặc tự mở studio, công ty riêng • Các doanh nghiệp thiết kế kiến trúc, thiết kế nội thất • Các doanh nghiệp tư vấn thiết kế, giám sát, thi công xây dựng • Cơ quan nhà nước về quản lí đô thị, qui hoạch đô thị • Các viện nghiên cứu kiến trúc, thiết kế, qui hoạch kiến trúc và qui hoạch đô thị • Các trường dạy về thiết kế kiến trúc xây dựng, qui hoạch đô thị",1,1,2,"[3.62, 3.88, 3.75,  3.5,  4.0,  1.0, 1.25,  1.0,  3.0, 3.75, 3.25, 2.75, 2.75, 
  3.0,  3.5, 3.75, 3.12, 1.88,  4.0, 2.25, 3.12, 1.88, 3.12,  4.0,  1.0, 2.88, 
 2.88, 3.25,  4.0,  3.5, 3.38,  2.0,  3.0, 1.88, 3.88]",17-1011.00,11
49,Kiến trúc sư cảnh quan/ nhà thiết kế cảnh quan,Landscape Architect,Kiến trúc và xây dựng,"Kiến trúc sư cảnh quan, còn gọi là nhà thiết kế cảnh quan, qui hoạch, thiết kế, tổ chức thi công, quản lí, bảo dưỡng và phục hồi cảnh quan, đường nội bộ và không gian ngoài trời của các công trình nhà ở, văn phòng, nhà thương mại và công nghiệp, vườn hoa, công viên, khu du lịch, nghỉ dưỡng và giải trí. Họ đảm bảo rằng khu đất có công trình trông đẹp mắt và thân thiện với môi trường.","• Hành nghề tự do hoặc tự mở studio, công ty riêng • Các doanh nghiệp thiết kế kiến trúc, tư vấn thiết kế, giám sát, thi công xây dựng • Các doanh nghiệp thiết kế cảnh quan • Các công ty công viên cây xanh, các khu danh thắng, di tích, khu du lịch, khu đô thị • Các doanh nghiệp, đơn vị tư vấn qui hoạch, thiết kế, thi công xây dựng và phát triển đô thị, thi công xây dựng cảnh quan • Các cơ quan quản lí nhà nước về qui hoạch, xây dựng và quản lí đô thị, về cảnh quan và môi trường • Các cơ quan nghiên cứu, đào tạo và chuyển giao công nghệ về kiến trúc cảnh quan trong và ngoài nước",1,2,2,"[3.75,  4.0, 3.88, 3.88, 3.88,  1.0,  1.0,  1.0,  3.0, 3.75, 2.88, 2.62, 2.75, 
  3.0,  3.0,  3.0,  3.0,  2.0, 3.62,  2.0, 3.12,  1.5, 2.25,  4.0,  1.0,  2.5, 
 3.25, 3.75, 3.88, 3.38, 3.12, 1.88, 3.75,  2.0, 3.75]",,14
50,Nhà thiết kế sản phẩm/ Mỹ thuật công nghiệp,Industrial Designer,Kiến trúc và xây dựng,"Nhà thiết kế sản phẩm, còn gọi là nhà thiết kế Mỹ thuật công nghiệp, thiết kế hình thức của các sản phẩm, chuẩn bị bản vẽ và các thông số của sản phẩm để đưa vào sản xuất. Trong khi các kĩ sư công nghiệp thiết kế kết cấu, chức năng hoạt động của máy móc, sản phẩm thì nhà thiết kế Mỹ thuật công nghiệp thiết kế kiểu dáng hình thức của máy móc, sản phẩm sao cho không chỉ đẹp mà còn hiệu quả và kinh tế.","• Hầu như tất cả các doanh nghiệp sản xuất, chế tạo máy móc, sản phẩm đều cần nhà thiết kế Mỹ thuật công nghiệp • Các công ty thời trang • Các doanh nghiệp sản xuất hàng tiêu dùng • Các đơn vị tổ chức trình diễn thời trang, sản phẩm",2,2,0,"[ 3.0,  4.0, 3.75, 3.12, 3.75,  1.0, 1.88,  1.0, 2.75, 3.25, 2.75,  2.0,  2.0, 
 2.75, 2.75, 3.12, 2.88,  2.0, 3.25, 2.38, 3.12, 1.88, 2.75, 3.88,  1.0, 2.62, 
 2.88, 3.12,  3.5,  3.0,  3.0, 3.12, 3.25, 1.75, 3.12]",27-1021.00,20
51,Nhà thiết kế thời trang,Fashion Designers,Năng khiếu nghệ thuật,"Nhà thiết kế thời trang thiết kế áo quần, giày dép, phụ kiện và tạo ra những bộ sưu tập và dòng sản phẩm thời trang. Họ vẽ phác thảo, lựa chọn chất liệu, hoa văn, và chỉ dẫn cách sản xuất sản phẩm vừa thiết kế","• Hành nghề tự do hoặc mở studio, cửa hàng riêng • Các doanh nghiệp thiết kế, sản xuất hàng dệt may, thời trang • Các doanh nghiệp xuất nhập khẩu, phân phối hàng dệt may, thời trang • Các đơn vị tổ chức trình diễn thời trang và xuất bản tạp chí thời trang • Các nhà sản xuất phim và chương trình truyền hình • Các nhà hát, đoàn nghệ thuật biểu diễn • Các cơ quan quản lí nhà nước ngành dệt may • Các viện, trung tâm nghiên cứu phát triển dệt may",1,0,0,"[3.88,  4.0, 3.75, 3.88,  4.0,  1.0, 1.62,  1.0,  3.5, 3.88, 3.12, 2.88, 2.75, 
 3.75, 2.25, 3.62, 3.62,  1.0, 3.38, 2.25, 3.62, 1.38,  2.5, 3.75,  1.0, 1.12, 
 3.62, 3.88, 3.88, 3.25, 3.12, 1.75, 3.75, 1.62,  3.5]",27-1022.00,6
52,Nhà trắc địa bản đồ,Cartographers and Surveyors,Kỹ thuật,"Nhà trắc địa bản đồ sử dụng các phương pháp và kĩ thuật khảo sát để xác định vị trí chính xác của các phân vùng tự nhiên, phân vùng xây dựng, ranh giới đất, nước, trong lòng đất, xây dựng và chỉnh sửa bản đồ kĩ thuật số, đồ họa và ảnh.","• Cơ quan khí tượng thủy văn • Cơ quan trắc địa, bản đồ • Các doanh nghiệp, đơn vị thăm dò khảo sát dầu khí, khảo sát biển và công trình biển",1,2,0,"[3.38, 3.88, 3.75,  3.0, 3.88, 1.88,  2.0,  1.0,  3.0, 3.62,  3.0, 1.75, 1.75, 
 2.75, 4.12, 3.38,  2.0, 2.75, 1.88, 2.75, 2.25, 2.38, 2.88,  4.0, 1.88, 3.12, 
 2.75, 2.75, 3.38, 3.12, 3.12, 1.75, 2.88, 1.88, 3.62]",17-1021.00,12
53,Nhà nhiếp ảnh,Photographers,Năng khiếu nghệ thuật,"Nhà nhiếp ảnh sử dụng khả năng tư duy, sáng tạo của bản thân và các kĩ thuật của máy ảnh để chụp ảnh. Họ có thể chụp hình ảnh tĩnh và động, sử dụng máy ảnh, máy quay video và các thiết bị khác để ghi lại và chỉnh sửa cả hình ảnh và âm thanh.","• Hành nghề tự do hoặc mở studio, cửa hàng riêng • Các doanh nghiệp quảng cáo, truyền thông, tổ chức sự kiện • Báo và tạp chí • Xưởng phim điện ảnh và truyền hình • Các doanh nghiệp in ấn, xuất bản • Các trung tâm nghiên cứu",1,0,0,"[3.12, 3.75, 3.12,  3.0, 3.12, 1.88, 2.25, 1.38, 2.88, 3.12, 2.88, 1.62, 1.88, 
 2.75,  2.0, 3.12, 2.75, 2.25, 2.75, 2.62, 2.88, 1.62,  2.5, 3.12,  1.5, 1.75, 
 3.25, 3.12, 3.75,  2.5, 2.38, 1.88,  3.0, 2.12, 2.88]",27-4021.00,6
54,Nhà thiết kế và trang trí nội thất,Interior Designer and Decorator,Năng khiếu nghệ thuật,"Nhà thiết kế và trang trí nội thất khảo sát mặt bằng, thiết kế nội thất và ngoại thất, đồ dùng và đồ trang trí nhà ở, nhà thương mại, công trình công cộng và công nghiệp để làm cho công trình đẹp, tiện nghi và thoải mái cho cuộc sống và công việc. Họ cũng phối hợp và tham gia xây dựng và hoàn thiện công trình. Họ cũng có thể thiết kế các sản phẩm đồ gỗ nội thất, đồ gia dụng và trang trí để sản xuất phục vụ tiêu dùng nội địa và xuất khẩu","Ví dụ về nơi làm việc: • Hành nghề tự do hoặc tự mở công ti • Các doanh nghiệp, cơ sở sản xuất đồ gỗ, đồ gia dụng và trang trí nội ngoại thất • Các doanh nghiệp thiết kế kiến trúc, tư vấn thiết kế, giám sát, xây dựng • Khách sạn, khu nghỉ dưỡng, nhà khách • Các doanh nghiệp sản xuất phim, chương trình truyền hình • Nhà hát, đoàn kịch • Đài truyền hình",0,1,1,"[3.12,  4.0,  3.5,  3.5,  4.0,  1.0, 1.12,  1.0,  3.0, 3.25, 2.88, 2.75, 2.75, 
 2.88,  3.0, 3.12, 3.38,  1.5, 3.38, 1.88,  3.5, 1.75, 2.12,  4.0,  1.0, 1.38, 
 3.75, 3.75,  4.0, 2.88,  2.5, 1.88, 3.12, 1.88, 3.62]",27-1025.00,4
